code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
008037,,,2.1,5,LLAVE AJUSTABLE DE 12 PULG,,,1.0,0.444444,,,Unidades,0.0363,0.29,
2.2,,,2,2,ALQUILER Y SUMINISTRO DE ANDAMIOS DE TIJERAS,,,,1.0,1.0,8,Dias,,,
004757,,,2.2,5,CUERPO DE ANDAMIO,,,1.0,8.0,,,Unidades,0.188,1.5,
004729,,,2.2,5,FORMALETAS PARA ANDAMIO,,,2.0,16.0,,,Unidades,0.033,0.26,
004535,,,2.2,5,ARNES DE SEGURIDAD CON ESLINGA-CORPORAL,,,2.0,16.0,,,Unidades,0.5,4.0,
2.3,,,2,2,DESARMADO DE ANDAMIOS DE TIJERAS,,,,1.0,20.0,8,CUERPO,,,
002575,,,2.3,4,PLANIFICADOR,,,0.13,0.052,,,Dias,2.4963,19.97,
003014,,,2.3,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.1,,,Dias,2.4963,19.97,
000767,,,2.3,4,CAPATAZ,,,0.5,0.2,,,Dias,2.2075,17.66,
000141,,,2.3,4,ANDAMIERO,,,1.0,0.4,,,Dias,1.5688,12.55,
000307,,,2.3,4,AYUDANTE,,,2.0,0.8,,,Dias,1.1913,9.53,
004687,,,2.3,5,JUEGO LLAVES COMBINADAS PULG 14 PZA,,,1.0,0.4,,,Unidades,0.161,1.29,
004817,,,2.3,5,KIT DE ESLINGAS PARA IZAMIENTO,,,1.0,0.4,,,Unidades,0.25,2.0,
008037,,,2.3,5,LLAVE AJUSTABLE DE 12 PULG,,,1.0,0.4,,,Unidades,0.0363,0.29,
